Date,Category,Title,Link
2026-04-27 20:05:00,Spor,"Fatih Tekke: 'İlk yarı fecaatti, sorumlusu benim'",https://www.hurriyet.com.tr/sporarena/fatih-tekke-ilk-yari-fecaatti-sorumlusu-benim-43160751
2026-04-27 20:04:05,Spor,Aleksandar Stanojevic: 'Hak ettiğimizi düşünüyorum!',https://www.hurriyet.com.tr/sporarena/aleksandar-stanojevic-hak-ettigimizi-dusunuyorum-43160749
2026-04-27 20:02:30,Spor,"Joao Pereira: 'Sorumlu benim, bundan kaçmıyorum!'",https://www.hurriyet.com.tr/sporarena/joao-pereira-sorumlu-benim-bundan-kacmiyorum-43160748
2026-04-27 20:01:16,Spor,Thorsten Fink'ten Galatasaray maçı yorumu!,https://www.hurriyet.com.tr/sporarena/thorsten-finkten-galatasaray-maci-yorumu-43160746
2026-04-27 19:33:41,Spor,"Sergen Yalçın: 'Oyun bizi tatmin etmedi, oluyor böyle maçlar'",https://www.hurriyet.com.tr/sporarena/sergen-yalcin-oyun-bizi-tatmin-etmedi-oluyor-boyle-maclar-43160737
2026-04-27 13:27:50,Spor,Geri dönüşlerle 41.61 oran yakaladı! Misli’de 179.827 TL kazandı…,https://www.hurriyet.com.tr/sporarena/geri-donuslerle-41-61-oran-yakaladi-mislide-179-827-tl-kazandi-43160562
2026-04-27 12:53:20,Spor,Kadınlar derbisinde de kazanan Galatasaray!,https://www.hurriyet.com.tr/sporarena/kadinlar-derbisinde-de-kazanan-galatasaray-43160527
2026-04-27 12:49:00,Spor,VakıfBank Başantrenörü Guidetti'den Fenerbahçe itirafı: 'Hayatımda görmedim!',https://www.hurriyet.com.tr/sporarena/vakifbank-basantrenoru-guidettiden-fenerbahce-itirafi-hayatimda-gormedim-43160413
2026-04-27 12:37:19,Spor,Galatasaray'da Asprilla'nın yerine 19'luk genç yetenek!,https://www.hurriyet.com.tr/sporarena/galatasarayda-asprillanin-yerine-19luk-genc-yetenek-43160488
2026-04-27 11:58:15,Spor,Beşiktaş ve Samsunspor’un maçlarında 5+ gol sayısı öne çıkıyor! İşte Misli’den Günlük Bahis İstatistikleri,https://www.hurriyet.com.tr/sporarena/besiktas-ve-samsunsporun-maclarinda-5-gol-sayisi-one-cikiyor-iste-misliden-gunluk-bahis-istatistikleri-43160452
2026-04-27 11:25:00,Spor,Hakan Çalhanoğlu şoku! İtalyanlar sakatlığı duyurdu,https://www.hurriyet.com.tr/sporarena/hakan-calhanoglu-soku-italyanlar-sakatligi-duyurdu-43160435
2026-04-27 10:44:54,Spor,Beşiktaş GAİN EuroCup'ta final serisini İstanbul'a taşımanın peşinde!,https://www.hurriyet.com.tr/sporarena/besiktas-gain-eurocupta-final-serisini-istanbula-tasimanin-pesinde-43160399
2026-04-27 10:39:40,Spor,UEFA Şampiyonlar Ligi'nde yarı final heyecanı başlayacak!,https://www.hurriyet.com.tr/sporarena/uefa-sampiyonlar-liginde-yari-final-heyecani-baslayacak-43160392
2026-04-27 10:32:23,Spor,"Galatasaray, Okan Buruk yönetiminde tarih yazıyor!",https://www.hurriyet.com.tr/sporarena/galatasaray-okan-buruk-yonetiminde-tarih-yaziyor-43160377
